id,sigma,misorientation_angle_deg,axis_h,axis_k,axis_l,plane_h,plane_k,plane_l,gb_type
1086,473,52.567785,13,11,9,-283,959,25,unclassified
1087,473,52.567785,13,11,9,-361,401,189,unclassified
1088,473,52.567785,13,11,9,413,-29,17,unclassified
1089,473,52.567785,13,11,9,-479,139,49,unclassified
1090,529,45.4667347,11,6,1,11,-25,29,unclassified
1091,529,45.4667347,11,6,1,-62,189,77,unclassified
1092,549,32.4070172,13,1,1,-277,509,347,unclassified
1093,549,32.4070172,13,1,1,301,-125,55,unclassified
1094,549,32.4070172,13,1,1,-379,-25,11,unclassified
1095,559,52.4092035,11,9,4,103,-335,191,unclassified
1096,559,52.4092035,11,9,4,121,-285,29,unclassified
1097,559,52.4092035,11,9,4,-126,209,16,unclassified
1098,609,47.0433367,13,5,0,-247,155,241,unclassified
1099,609,47.0433367,13,5,0,-134,-17,5,unclassified
1100,649,54.7032016,12,11,3,-173,-661,87,unclassified
1101,649,54.7032016,12,11,3,-184,21,10,unclassified
1102,649,54.7032016,12,11,3,108,30,107,unclassified
1103,719,42.3940186,7,6,3,1363,-1493,285,unclassified
1104,943,38.4022429,10,1,1,549,29,139,unclassified
1105,943,38.4022429,10,1,1,-377,-281,279,unclassified
1106,999,58.4983901,16,11,10,409,-169,31,unclassified
1107,999,58.4983901,16,11,10,-505,67,35,unclassified
1108,3,60,1,1,1,1,-5,7,unclassified
1109,3,60,1,1,1,-3,-1,3,unclassified
1110,9,38.9424413,1,1,0,37,17,5,unclassified
1111,9,38.9424413,1,1,0,-41,-31,20,unclassified
1112,9,38.9424413,1,1,0,-47,29,53,unclassified
1113,19,26.525352,1,1,0,-11,49,9,unclassified
1114,19,26.525352,1,1,0,41,-3,39,unclassified
1115,19,26.525352,1,1,0,-35,-3,153,unclassified
1116,19,26.525352,1,1,0,53,23,5,unclassified
1117,21,44.4153086,2,1,1,-5,4,6,unclassified
1118,21,44.4153086,2,1,1,3,-1,9,unclassified
1119,21,44.4153086,2,1,1,5,-11,1,unclassified
1120,21,44.4153086,2,1,1,5,-5,1,unclassified
1121,21,44.4153086,2,1,1,-22,19,46,unclassified
1122,21,44.4153086,2,1,1,-8,26,11,unclassified
1123,23,40.4590831,3,1,1,-83,-65,61,unclassified
1124,23,40.4590831,3,1,1,57,-13,3,unclassified
1125,23,40.4590831,3,1,1,-81,33,95,unclassified
1126,25,51.6838655,3,3,1,9,-5,3,unclassified
1127,25,51.6838655,3,3,1,-1,0,3,unclassified
1128,25,51.6838655,3,3,1,-3,5,9,unclassified
1129,27,31.5863381,1,1,0,95,13,65,unclassified
1130,27,31.5863381,1,1,0,101,-128,62,unclassified
1131,27,31.5863381,1,1,0,140,-113,2,unclassified
1132,29,43.602819,1,0,0,-29,8,20,unclassified
1133,29,43.602819,1,0,0,58,-48,25,unclassified
1134,29,43.602819,1,0,0,87,-35,101,unclassified
1135,31,52.2002776,2,1,1,9,-33,46,unclassified
1136,31,52.2002776,2,1,1,9,-33,139,unclassified
1137,31,52.2002776,2,1,1,-15,55,6,unclassified
1138,31,52.2002776,2,1,1,-18,4,1,unclassified
1139,33,33.5573098,3,1,1,-103,17,61,unclassified
1140,33,33.5573098,3,1,1,113,-43,67,unclassified
1141,33,58.992417,1,1,0,-2,2,5,unclassified
1142,35,34.0477324,2,1,1,9,2,0,unclassified
1143,35,34.0477324,2,1,1,69,-3,5,unclassified
1144,35,34.0477324,2,1,1,-89,13,25,unclassified
1145,43,27.9054728,2,1,0,-183,-21,13,unclassified
1146,43,27.9054728,2,1,0,-165,29,23,unclassified
1147,43,27.9054728,2,1,0,-173,45,95,unclassified
1148,45,28.624551,3,1,1,181,-175,37,unclassified
1149,45,36.8698976,2,2,1,67,175,11,unclassified
1150,45,36.8698976,2,2,1,-59,-50,38,unclassified
1151,45,53.1301024,2,2,1,5,11,13,unclassified
1152,45,53.1301024,2,2,1,115,-17,29,unclassified
1153,45,53.1301024,2,2,1,-25,17,16,unclassified
1154,49,43.5735786,5,1,1,-61,50,59,unclassified
1155,49,43.5735786,5,1,1,59,-9,8,unclassified
1156,49,43.5735786,5,1,1,62,3,30,unclassified
1157,49,43.5735786,5,1,1,73,-51,127,unclassified
1158,49,43.5735786,5,1,1,-13,-3,5,unclassified
1159,55,35.0968012,3,1,0,-1,3,10,unclassified
1160,55,35.0968012,3,1,0,-3,9,85,unclassified
1161,55,35.0968012,3,1,0,1,8,1,unclassified
1162,55,35.0968012,3,1,0,-6,-92,5,unclassified
1163,57,41.0282544,3,2,1,7,245,401,unclassified
1164,57,41.0282544,3,2,1,-239,-43,5,unclassified
1165,57,41.0282544,3,2,1,211,-25,101,unclassified
1166,61,52.659007,1,1,1,-9,4,5,unclassified
1167,61,52.659007,1,1,1,-13,-1,14,unclassified
1168,61,52.659007,1,1,1,-23,17,6,unclassified
1169,63,38.2132107,5,1,1,10,-13,89,unclassified
1170,63,38.2132107,5,1,1,23,52,22,unclassified
1171,63,38.2132107,5,1,1,16,17,29,unclassified
1172,65,43.0490798,5,3,1,15,-26,3,unclassified
1173,65,43.0490798,5,3,1,5,-13,14,unclassified
1174,65,43.0490798,5,3,1,-20,-13,74,unclassified
1175,69,50.9177927,5,5,1,-55,-85,79,unclassified
1176,69,50.9177927,5,5,1,-31,-4,37,unclassified
1177,69,50.9177927,5,5,1,6,3,1,unclassified
1178,73,48.8879096,4,3,0,2,46,17,unclassified
1179,73,48.8879096,4,3,0,-19,1,167,unclassified
1180,73,48.8879096,4,3,0,-25,155,43,unclassified
1181,73,48.8879096,4,3,0,-31,-129,65,unclassified
1182,73,48.8879096,4,3,0,23,-347,13,unclassified
1183,83,57.1686077,3,3,1,-61,31,256,unclassified
1184,83,57.1686077,3,3,1,49,103,125,unclassified
1185,83,57.1686077,3,3,1,56,11,131,unclassified
1186,85,46.0430533,4,3,1,-84,-153,115,unclassified
1187,85,46.0430533,4,3,1,-39,17,20,unclassified
1188,85,46.0430533,4,3,1,-33,119,115,unclassified
1189,87,48.6299601,7,3,1,22,26,29,unclassified
1190,87,48.6299601,7,3,1,-11,-13,0,unclassified
1191,87,48.6299601,7,3,1,27,-5,29,unclassified
1192,89,25.9892336,2,2,1,88,16,59,unclassified
1193,89,25.9892336,2,2,1,93,25,120,unclassified
1194,89,25.9892336,2,2,1,247,-125,23,unclassified
1195,93,56.3744142,7,5,3,29,-52,19,unclassified
1196,93,56.3744142,7,5,3,-125,253,149,unclassified
1197,93,56.3744142,7,5,3,-2,-83,50,unclassified
1198,105,44.024094,7,3,1,-80,-68,29,unclassified
1199,105,44.024094,7,3,1,5,-13,19,unclassified
1200,111,40.0248339,5,1,0,19,-21,67,unclassified
1201,111,40.0248339,5,1,0,19,-95,67,unclassified
1202,111,40.0248339,5,1,0,-25,125,17,unclassified
1203,111,40.0248339,5,1,0,10,-13,8,unclassified
1204,125,53.1301024,4,3,0,6,-8,5,unclassified
1205,125,53.1301024,4,3,0,3,-29,15,unclassified
1206,125,53.1301024,4,3,0,-3,4,10,unclassified
1207,125,53.1301024,4,3,0,-9,37,5,unclassified
1208,131,60.2521974,5,5,4,-113,151,149,unclassified
1209,131,60.2521974,5,5,4,5,-9,5,unclassified
1210,131,60.2521974,5,5,4,1,-28,1,unclassified
1211,139,32.6771021,3,3,2,11,-34,104,unclassified
1212,139,32.6771021,3,3,2,-66,65,71,unclassified
1213,139,32.6771021,3,3,2,21,-27,148,unclassified
1214,143,37.794879,5,2,1,151,-19,141,unclassified
1215,143,37.794879,5,2,1,149,-193,213,unclassified
1216,151,60.6550655,6,5,4,51,343,61,unclassified
1217,151,60.6550655,6,5,4,-47,-97,3,unclassified
1218,157,57.2209193,2,2,1,459,279,251,unclassified
1219,157,57.2209193,2,2,1,-605,-417,317,unclassified
1220,157,57.2209193,2,2,1,197,169,53,unclassified
1221,165,52.9127632,9,7,1,109,-173,65,unclassified
1222,165,52.9127632,9,7,1,27,-59,115,unclassified
1223,171,56.8533652,9,7,5,137,-47,127,unclassified
1224,171,56.8533652,9,7,5,223,-79,17,unclassified
1225,171,56.8533652,9,7,5,-50,-220,569,unclassified
1226,171,56.8533652,9,7,5,233,-377,211,unclassified
1227,197,31.7607144,7,3,1,-70,-42,25,unclassified
1228,197,31.7607144,7,3,1,65,39,19,unclassified
1229,197,31.7607144,7,3,1,-73,35,12,unclassified
1230,197,31.7607144,7,3,1,-97,-137,105,unclassified
1231,197,54.1055127,9,9,1,75,165,7,unclassified
1232,197,54.1055127,9,9,1,125,-119,143,unclassified
1233,201,8.0893825,1,1,0,-1,1,20,unclassified
1234,201,8.0893825,1,1,0,-7,7,6,unclassified
1235,201,8.0893825,1,1,0,10,-10,1,unclassified
1236,201,8.0893825,1,1,0,-11,11,19,unclassified
1237,201,37.2483058,4,4,3,149,-29,175,unclassified
1238,201,37.2483058,4,4,3,55,251,329,unclassified
1239,215,45.9449785,9,7,1,7,7,17,unclassified
1240,215,45.9449785,9,7,1,60,103,29,unclassified
1241,215,45.9449785,9,7,1,75,118,4,unclassified
1242,225,51.6838655,11,7,1,-151,43,235,unclassified
1243,225,51.6838655,11,7,1,1,-73,5,unclassified
1244,225,51.6838655,11,7,1,-131,158,335,unclassified
1245,229,33.2543484,7,5,1,11,-73,59,unclassified
1246,229,33.2543484,7,5,1,-29,130,11,unclassified
1247,229,33.2543484,7,5,1,-24,76,17,unclassified
1248,229,33.2543484,7,5,1,-27,-29,105,unclassified
1249,245,36.8698976,6,3,2,-223,-129,5,unclassified
1250,245,36.8698976,6,3,2,213,-191,15,unclassified
1251,245,36.8698976,6,3,2,227,61,85,unclassified
1252,279,17.8965511,5,1,1,41,16,58,unclassified
1253,279,17.8965511,5,1,1,35,25,79,unclassified
1254,279,17.8965511,5,1,1,19,-13,197,unclassified
1255,283,22.4777206,5,3,3,-180,9,8,unclassified
1256,283,22.4777206,5,3,3,207,117,104,unclassified
1257,283,22.4777206,5,3,3,238,73,2,unclassified
1258,289,47.5659994,9,3,2,-105,85,56,unclassified
1259,289,47.5659994,9,3,2,99,85,5,unclassified
1260,289,47.5659994,9,3,2,101,-68,81,unclassified
1261,303,24.825493,3,2,1,-112,-4,41,unclassified
1262,303,24.825493,3,2,1,-107,7,4,unclassified
1263,303,24.825493,3,2,1,-157,-103,71,unclassified
1264,325,27.7957725,7,5,1,-41,150,187,unclassified
1265,325,27.7957725,7,5,1,-51,-75,82,unclassified
1266,363,53.6805663,7,4,3,-263,-271,7,unclassified
1267,363,53.6805663,7,4,3,-245,65,1,unclassified
1268,363,53.6805663,7,4,3,-299,-217,19,unclassified
1269,367,30.1032907,7,5,5,140,53,118,unclassified
1270,367,30.1032907,7,5,5,141,-311,187,unclassified
1271,369,48.708394,11,9,7,-20,-13,13,unclassified
1272,369,48.708394,11,9,7,-17,32,91,unclassified
1273,375,57.2255492,6,5,5,-85,94,8,unclassified
1274,375,57.2255492,6,5,5,-155,-58,19,unclassified
